date,open,high,low,close,volume
2022-01-03,180,182,176,178,5000000
2022-01-04,175,177,171,172,6000000
2022-01-05,170,172,166,167,7000000
2022-01-06,165,168,161,162,8000000
2022-01-07,160,163,156,157,9000000
2022-01-10,155,158,151,152,10000000
2022-01-11,150,153,146,147,11000000
2022-01-12,145,148,141,142,12000000
2022-01-13,140,143,136,137,13000000
2022-01-14,135,138,131,132,14000000
2022-01-17,130,133,126,127,15000000
2022-01-18,125,128,121,122,16000000
2022-01-19,120,123,116,117,17000000
2022-01-20,115,118,111,112,18000000
2022-01-21,110,113,106,107,19000000
2022-01-24,105,108,101,102,20000000
2022-01-25,100,103,96,97,21000000
2022-01-26,95,98,91,92,22000000
2022-01-27,90,93,86,87,23000000
2022-01-28,85,88,81,82,24000000
2022-02-01,80,85,76,78,25000000
2022-02-02,78,82,74,76,24000000
2022-02-03,76,80,72,74,23000000
2022-02-04,74,78,70,72,22000000
2022-02-07,72,76,68,70,21000000
2022-02-08,70,75,66,73,20000000
2022-02-09,73,78,69,76,19000000
2022-02-10,76,81,72,79,18000000
2022-02-11,79,84,75,82,17000000
2022-02-14,82,87,78,85,16000000
2022-02-15,85,90,81,88,15000000
2022-02-16,88,93,84,91,14000000
2022-02-17,91,96,87,94,13000000
2022-02-18,94,99,90,97,12000000
2022-02-21,97,102,93,100,11000000
2022-02-22,100,105,96,103,10000000
2022-02-23,103,108,99,106,9000000
2022-02-24,106,111,102,109,8000000
2022-02-25,109,114,105,112,7000000
2022-02-28,112,117,108,115,6000000
2022-03-01,115,120,111,118,5000000
2022-03-02,118,123,114,121,6000000
2022-03-03,121,126,117,124,7000000
2022-03-04,124,129,120,127,8000000
2022-03-07,127,132,123,130,9000000
2022-03-08,130,135,126,133,10000000
2022-03-09,133,138,129,136,11000000
2022-03-10,136,141,132,139,12000000
2022-03-11,139,144,135,142,13000000
2022-03-14,142,147,138,145,14000000
2022-03-15,145,150,140,150,15000000
2022-03-16,150,155,145,155,16000000
2022-03-17,155,160,150,160,17000000
2022-03-18,160,165,155,165,18000000
2022-03-21,165,170,160,170,19000000
2022-03-22,170,175,165,175,20000000
2022-03-23,175,180,170,180,21000000
2022-03-24,180,185,175,185,22000000
2022-03-25,185,190,180,190,23000000
2022-03-28,190,195,185,195,24000000
2022-03-29,195,200,190,200,25000000
2022-03-30,200,205,195,205,24000000
2022-03-31,205,210,200,210,23000000
2022-04-01,210,215,205,215,22000000
2022-04-04,215,220,210,220,21000000
2022-04-05,220,225,215,225,20000000
2022-04-06,225,230,220,230,19000000
2022-04-07,230,235,225,235,18000000
2022-04-08,235,240,230,240,17000000
2022-04-11,240,245,235,245,16000000
2022-04-12,245,250,240,250,15000000
2022-04-13,250,255,245,255,14000000
2022-04-14,255,260,250,260,13000000
2022-04-15,260,265,255,255,12000000
2022-04-18,255,260,248,250,11000000
2022-04-19,250,255,243,245,10000000
2022-04-20,245,250,238,240,9000000
2022-04-21,240,245,233,235,8000000
2022-04-22,235,240,228,230,7000000
2022-04-25,230,235,223,225,6000000
2022-04-26,225,230,218,220,5000000
2022-04-27,220,225,213,215,6000000
2022-04-28,215,220,208,200,7000000
2022-04-29,210,215,203,202,8000000
2022-05-02,205,220,208,204,9000000
2022-05-03,210,225,213,210,10000000
2022-05-04,215,230,218,213,11000000
2022-05-05,220,235,223,225,12000000
2022-05-06,225,240,228,236,13000000
2022-05-09,230,245,233,240,14000000
2022-05-10,235,250,238,244,15000000
2022-05-11,240,255,243,245,16000000
2022-05-12,245,260,248,240,17000000
2022-05-13,250,255,243,235,18000000
2022-05-16,245,250,238,230,19000000
2022-05-17,240,245,233,225,20000000
2022-05-18,235,240,228,230,19000000
2022-05-19,230,235,223,235,18000000
2022-05-20,225,230,218,240,17000000
2022-05-23,230,235,223,245,16000000
2022-05-24,235,240,228,250,15000000
2022-05-25,240,245,233,255,16000000
2022-05-26,245,250,238,250,17000000
2022-05-27,250,255,243,245,18000000
2022-05-30,255,260,248,240,19000000
2022-05-31,250,255,243,235,20000000
2022-06-01,245,250,238,240,19000000
2022-06-02,240,245,233,245,18000000
2022-06-03,235,240,228,250,17000000
2022-06-06,240,245,233,255,16000000
2022-06-07,245,250,238,260,15000000
2022-06-08,250,255,243,255,16000000
2022-06-09,255,260,248,250,17000000
2022-06-10,260,265,253,245,18000000
2022-06-13,255,260,248,240,19000000
2022-06-14,250,255,243,245,20000000
2022-06-15,245,250,238,250,19000000
2022-06-16,240,245,233,255,18000000
2022-06-17,245,250,238,260,17000000
2022-06-20,250,255,243,265,16000000
2022-06-21,255,260,248,260,15000000
2022-06-22,260,265,253,255,16000000
2022-06-23,265,270,258,250,17000000
2022-06-24,260,265,253,245,18000000
2022-06-27,255,260,248,250,19000000
2022-06-28,250,255,243,255,20000000
2022-06-29,245,250,238,260,19000000
2022-06-30,250,255,243,265,18000000
2022-07-01,255,260,248,270,17000000
2022-07-04,260,265,253,265,16000000
2022-07-05,265,270,258,260,15000000
2022-07-06,270,275,263,255,16000000
2022-07-07,265,270,258,250,17000000
2022-07-08,260,265,253,255,18000000
2022-07-11,255,260,248,260,19000000
2022-07-12,250,255,243,265,20000000
2022-07-13,255,260,248,270,19000000
2022-07-14,260,265,253,275,18000000
2022-07-15,265,270,258,270,17000000
2022-07-18,270,275,263,265,16000000
2022-07-19,275,280,268,260,15000000
2022-07-20,270,275,263,255,15000000
2022-07-21,265,270,258,250,15000000
2022-07-22,260,265,253,250,15000000
2022-07-25,255,260,248,250,15000000
2022-07-26,250,255,243,250,15000000
2022-07-27,250,255,243,250,15000000
2022-07-28,250,255,243,250,15000000
2022-07-29,250,255,243,250,15000000
2022-08-01,250,255,243,250,15000000
