date,open,high,low,close,volume
2022-01-03,180,183,175,177,2100000
2022-01-04,177,180,172,174,2300000
2022-01-05,174,177,169,171,2500000
2022-01-06,171,174,166,173,2200000
2022-01-07,173,176,168,176,2400000
2022-01-10,176,179,171,179,2600000
2022-01-11,179,182,174,175,2300000
2022-01-12,175,178,170,172,2100000
2022-01-13,172,175,167,169,2000000
2022-01-14,169,172,164,171,2200000
2022-01-17,171,174,166,174,2400000
2022-01-18,174,177,169,177,2600000
2022-01-19,177,180,172,173,2800000
2022-01-20,173,176,168,170,2500000
2022-01-21,170,173,165,167,2300000
2022-01-24,167,170,162,170,2100000
2022-01-25,170,173,165,173,2200000
2022-01-26,173,176,168,176,2400000
2022-01-27,176,179,171,172,2600000
2022-01-28,172,175,167,169,2800000
2022-02-01,169,172,164,172,3000000
2022-02-02,172,175,167,175,2700000
2022-02-03,175,178,170,178,2500000
2022-02-04,178,181,173,174,2300000
2022-02-07,174,177,169,171,2100000
2022-02-08,171,174,166,168,2200000
2022-02-09,168,171,163,171,2400000
2022-02-10,171,174,166,174,2600000
2022-02-11,174,177,169,177,2800000
2022-02-14,177,180,172,173,3000000
2022-02-15,173,176,168,170,3200000
2022-02-16,170,173,165,167,2900000
2022-02-17,167,170,162,170,2700000
2022-02-18,170,173,165,173,2500000
2022-02-21,173,176,168,176,2300000
2022-02-22,176,179,171,179,2100000
2022-02-23,179,182,174,175,2300000
2022-02-24,175,178,170,172,2500000
2022-02-25,172,175,167,169,2700000
2022-02-28,169,172,164,171,2900000
2022-03-01,171,174,166,174,3100000
2022-03-02,174,177,169,177,3300000
2022-03-03,177,180,172,180,3000000
2022-03-04,180,183,175,176,2800000
2022-03-07,176,179,171,173,2600000
2022-03-08,173,176,168,170,2400000
2022-03-09,170,173,165,173,2200000
2022-03-10,173,176,168,176,2400000
2022-03-11,176,179,171,179,2600000
2022-03-14,179,182,174,175,2800000
2022-03-15,175,178,170,172,3000000
2022-03-16,172,175,167,169,3200000
2022-03-17,169,172,164,172,3400000
2022-03-18,172,175,167,175,3100000
2022-03-21,175,178,170,178,2900000
2022-03-22,178,181,173,181,2700000
2022-03-23,181,184,176,177,2500000
2022-03-24,177,180,172,174,2300000
